accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
6.450147608657441980e-03,2.553063708484138057e-03,-9.790927192952784353e+00
-1.255047132083392247e-02,-7.408862392017621923e-03,-9.810645818241049199e+00
9.475744871722459328e-03,9.290986855424399060e-03,-9.779045755012766961e+00
9.696925968125349321e-03,-9.177544138746284580e-03,-9.798965274757655664e+00
-4.750086606610322455e-04,-1.244504290573999854e-02,-9.787268039561164201e+00
6.842921082023353460e-03,-1.828812614356831526e-02,-9.814214627102604283e+00
-7.645696490751645487e-03,7.340016726089162308e-04,-9.783057270288420426e+00
1.015690858135575268e-02,1.193442748115361614e-02,-9.791805966415934037e+00
7.522017518312828187e-03,2.221857198543320065e-03,-9.797182915787496782e+00
-1.610302263234254100e-02,5.807869864868460928e-03,-9.772754170107651461e+00
1.947730611187362126e-02,3.762069575567070397e-03,-9.794701284582520984e+00
-4.001083782803675076e-02,-1.114215068041377217e-03,-9.812072649550783510e+00
2.898233935355318432e-03,-1.599315760190426691e-02,-9.759824545352088876e+00
7.476418124430580722e-03,6.886825216075089309e-03,-9.794735325210790933e+00
6.251258966367042799e-03,9.727811739412444737e-04,-9.774814484837213158e+00
2.369137684121260835e-03,-1.497211773523444284e-02,-9.795216085846355725e+00
-3.472045258054144018e-03,2.256687846828686964e-02,-9.789916907839213422e+00
-5.582085793886144842e-04,1.358295156456030064e-02,-9.764871027252308266e+00
1.041449275446047762e-02,1.581588723468006774e-02,-9.777936347972007169e+00
-1.600504693618307744e-03,1.604535010912779350e-02,-9.759172301742090383e+00
-1.669152547493422262e-02,-3.378471396567780949e-02,-9.798164236584632647e+00
6.699991898532134740e-03,-5.842753191586666679e-03,-9.786656635116951719e+00
-6.096535105627547656e-04,-6.322162621606238798e-03,-9.771181938740678419e+00
9.479656965895699727e-03,7.322834483399829134e-03,-9.791611897419498334e+00
2.413363044407486335e-03,1.678604931741414091e-02,-9.780960028707223586e+00
-1.292066933588678808e-02,-1.426995769933686251e-02,-9.795364542264584529e+00
-7.325578204860684964e-03,4.590062028218393556e-03,-9.773488426604549417e+00
2.921621487023384409e-03,1.827211754199086630e-02,-9.806636722618797819e+00
3.956339088482767677e-03,-1.172948585028171092e-02,-9.766378770372496021e+00
5.809705132080159387e-03,1.043218558880473421e-02,-9.784602217038154137e+00
7.476172170771294354e-03,-5.799153016583705363e-03,-9.797242587265465374e+00
7.050979103690715490e-03,-1.200292438263135357e-02,-9.802266572687878821e+00
5.100973994025101779e-03,1.078976311306504079e-02,-9.789095613605116597e+00
-2.115965432992750889e-02,1.353394814030547955e-02,-9.781556820325404189e+00
1.466745944403693991e-02,1.168762445685542564e-02,-9.792156117871885002e+00
1.772275384251357751e-03,1.260018737987617099e-02,-9.762102569132949270e+00
1.053307122818711652e-02,2.087167077065030241e-02,-9.794678398771591077e+00
-5.684815183444932168e-03,-9.026398558341284378e-03,-9.775288688612651100e+00
2.241312716966447488e-02,2.101367661033888903e-02,-9.764308765118103750e+00
6.089495767847103933e-03,2.059230257803941824e-02,-9.779959592571659144e+00
1.315108595719767081e-03,5.335115968039857992e-03,-9.744561197596890878e+00
-2.827330586985849284e-02,-6.019351017847925436e-03,-9.782901843339686820e+00
2.472379246379799445e-02,-1.478086750034853479e-02,-9.761645656838418006e+00
1.545807159295307237e-02,1.635557587312550659e-02,-9.789566325448264550e+00
1.508441008164725788e-02,-1.826238040907147281e-02,-9.783819753994373869e+00
6.350045544417767286e-03,-2.052703223331652990e-02,-9.808910507814697866e+00
-1.355031283867259330e-02,-3.933499829039908968e-02,-9.771964305934128348e+00
4.057188575311324388e-03,-1.455995366599670618e-02,-9.797837761222641717e+00
-6.577359607912819546e-03,-1.220869889635579214e-02,-9.794771907802235944e+00
-1.785430281057875240e-02,-6.399420439771519829e-03,-9.779498196438986213e+00
7.766359191245142575e-03,-6.268485800497785969e-03,-9.774886328662665491e+00
9.979731103215809529e-04,4.810588287368428723e-03,-9.778673538088469286e+00
3.064021004320575253e-04,-8.559474091902247173e-03,-9.770643963160592804e+00
-6.221609634911974898e-04,1.394421746614861370e-03,-9.750670975058095991e+00
2.639180186992017355e-02,8.727937506559806102e-03,-9.785029842918252285e+00
1.677789516737028530e-02,-1.082840360872911606e-02,-9.787944600548353691e+00
-1.972812123875705009e-02,2.458197936713381673e-02,-9.798100725722928672e+00
9.729727115759315842e-03,1.420383900472800727e-02,-9.772229774261631974e+00
1.434616000240814676e-02,6.776749913546211215e-03,-9.778599355582676012e+00
2.431289447048283914e-03,8.968995715184006207e-03,-9.766755848956377051e+00
-1.734020080551811754e-02,1.752881999132277534e-03,-9.763895688347480117e+00
1.185493813843843669e-02,1.172058279930713806e-02,-9.791930198885845371e+00
1.031073476972591517e-02,-9.979862574948142849e-04,-9.774248833441244955e+00
2.538387602488681449e-02,-4.337017997328703432e-03,-9.795663923340088175e+00
-1.235519528169972368e-02,-2.719006215092427403e-02,-9.787358782378460020e+00
5.277864419170439844e-03,-7.402983280070619607e-03,-9.768680431937413644e+00
-5.282240880289989018e-03,-2.322158585997663102e-02,-9.771440165434199798e+00
2.878222121242810308e-02,4.418409865987564522e-03,-9.790491192688076438e+00
2.388114422829606173e-03,-9.461487209156283634e-03,-9.787639019626713122e+00
-2.188840317644655600e-02,-4.848983921738513059e-03,-9.779130471120160095e+00
6.800905684882199882e-03,1.558997661362812072e-02,-9.794504795000120723e+00
1.241153342265412934e-02,-2.711540216011118498e-02,-9.767789073237434394e+00
1.805516869737571611e-02,-1.538640596917100617e-02,-9.787795907508622051e+00
3.279414270395686771e-03,-3.721965524263422948e-02,-9.790725798076703512e+00
1.263619670722243224e-02,8.603920207653815294e-03,-9.778264548470296802e+00
